ANGLE;SPEED_X;SPEED_Y;TRACK_-45;TRACK_-20;TRACK_0;TRACK_20;TRACK_45;TRACK_POS;CLASS
0.0432813;23.9969;0.502266;7.86509;200.0;38.4813;20.1169;12.8435;0.327167;2;
0.0430505;24.5933;0.557164;7.86789;200.0;38.6039;20.1181;12.8418;0.326745;1;
0.0438239;25.239;0.221739;7.88294;200.0;38.6193;20.09;12.8293;0.326177;1;
0.045737;25.966;0.0752824;7.91323;200.0;38.5088;20.0277;12.8038;0.325346;1;
0.0478989;26.6398;0.0302733;7.94802;200.0;38.3722;19.9574;12.7749;0.32438;1;
0.0503971;27.317;0.0160434;7.98794;200.0;38.2012;19.8771;12.7421;0.323316;1;
0.0532195;28.0365;0.0168814;8.03291;200.0;37.9977;19.7876;12.7057;0.322161;1;
0.0559851;28.7726;0.0166548;8.0789;200.0;37.8029;19.6991;12.6691;0.320911;1;
0.0583522;29.5111;-0.00303904;8.12224;200.0;37.6531;19.6202;12.6353;0.319558;1;
0.0605385;30.3045;-0.0136643;8.16527;200.0;37.5246;19.5453;12.6024;0.318098;1;
0.063184;31.0585;-0.0060272;8.2151;200.0;37.3498;19.4576;12.5646;0.316545;1;
0.0658852;31.9161;-8.60857E-4;8.26745;200.0;37.172;19.3677;12.5256;0.314884;1;
0.0690843;32.7095;0.0104713;8.32766;200.0;36.9447;19.2643;12.4814;0.31311;2;
0.0722086;33.5195;0.0563144;8.38904;200.0;36.7284;19.1623;12.4372;0.311236;2;
0.0744917;34.3446;0.0691067;8.44224;200.0;36.6025;19.081;12.3996;0.309261;2;
0.0761315;35.2864;0.0707442;8.48944;200.0;36.5464;19.0148;12.3666;0.30718;2;
0.07818;36.2292;0.123519;8.54316;200.0;36.4515;18.9376;12.3295;0.305011;2;
0.0805785;37.107;0.206081;8.60258;200.0;36.3243;18.8513;12.2889;0.302775;2;
0.0822164;37.9559;0.264501;8.65366;200.0;36.2808;18.7834;12.2544;0.300483;2;
0.0833084;38.226;0.332268;8.69862;180.936;36.2987;18.7285;12.2241;0.298148;2;
0.0844657;38.2018;0.407506;8.7442;163.916;36.3132;18.6725;12.1936;0.295842;2;
0.0854031;38.189;0.47653;8.78689;148.887;36.3542;18.6223;12.1652;0.293558;2;
0.085901;38.1804;0.530054;8.82351;134.473;36.4468;18.5831;12.1407;0.291306;2;
0.0859615;38.1629;0.59531;8.85395;121.147;36.5926;18.555;12.1202;0.289091;2;
0.0856268;38.1467;0.671487;8.87828;109.244;36.79;18.5372;12.1036;0.286943;2;
0.0850522;38.131;0.730486;8.89844;99.1271;37.024;18.5261;12.0895;0.284865;2;
0.0842907;38.4772;0.75702;8.91559;90.5407;37.2907;18.52;12.0774;0.282828;2;
0.0833637;38.8689;0.805398;8.93015;83.1819;37.5907;18.5182;12.0669;0.280817;2;
0.0821516;39.2657;0.890541;8.94004;76.6241;37.9418;18.5244;12.0593;0.278871;2;
0.0806138;39.6548;0.963763;8.94446;70.7171;38.3535;18.5413;12.0552;0.27701;2;
0.0789978;40.0523;0.99097;8.94706;65.6771;38.7977;18.5629;12.0524;0.275211;2;
0.0772907;40.4483;1.0239;8.94782;61.3113;39.2783;18.5898;12.0507;0.27346;2;
0.0750324;40.8775;1.11674;8.94023;57.1155;39.8636;18.6344;12.0546;0.2718;2;
0.0723798;41.2583;1.15968;8.92613;53.2499;40.5424;18.6939;12.0629;0.270257;2;
0.0696461;41.6808;1.14871;8.9102;49.8882;41.276;18.7599;12.0726;0.268787;2;
0.0671298;42.1002;1.15044;8.89646;47.0904;42.022;18.8246;12.0812;0.267378;2;
0.0646579;42.5013;1.18567;8.88243;44.6496;42.809;18.8928;12.0902;0.266048;2;
0.0618293;42.9282;1.19469;8.86296;42.3342;43.7102;18.9762;12.1032;0.264807;2;
0.0586974;43.3812;1.15875;8.83912;40.1673;44.7295;19.0737;12.1196;0.263634;2;
0.0560304;43.8171;1.16569;8.82043;38.3894;45.7337;19.1636;12.1328;0.262529;2;
0.053425;44.2492;1.20598;8.80152;36.7986;46.7985;19.2578;12.1463;0.26152;2;
0.0503032;44.6546;1.19002;8.77532;35.2091;48.0538;19.3742;12.1655;0.260611;2;
0.0468313;45.1437;1.16939;8.7444;33.6816;49.4903;19.5084;12.1887;0.259777;2;
0.0441486;45.5859;1.14841;8.72206;32.4689;50.8564;19.6258;12.2059;0.259031;2;
0.041639;46.0282;1.18495;8.70103;31.3841;52.2885;19.7447;12.2223;0.258362;2;
0.0381901;46.4556;1.19235;8.66786;30.1954;54.1032;19.9028;12.2485;0.257817;2;
0.0348231;46.9596;1.16462;8.63481;29.1135;56.0672;20.0677;12.2752;0.257374;2;
0.0322987;47.4186;1.15865;8.61065;28.2468;57.9479;20.2129;12.2951;0.257014;2;
0.029215;47.8353;1.20435;8.57907;27.3464;60.2017;20.3874;12.3214;0.256772;2;
0.0252873;48.3631;1.1541;8.53711;26.385;63.0178;20.6037;12.357;0.25665;1;
0.0239164;48.843;0.734876;8.52442;25.8278;65.0759;20.7335;12.3681;0.256458;1;
0.0263125;49.3201;0.313517;8.55807;25.7864;65.6456;20.7204;12.3399;0.255855;1;
0.0302507;49.7658;0.137953;8.61383;25.9485;65.569;20.6467;12.2941;0.254878;1;
0.0341265;50.308;0.0652246;8.67293;26.101;65.5307;20.5748;12.2468;0.25364;1;
0.038717;50.7819;0.0388691;8.74394;26.3436;65.1992;20.4763;12.1913;0.25218;1;
0.0433294;51.2602;0.0229076;8.81922;26.5867;64.8729;20.3773;12.1341;0.250499;1;
0.047393;51.8095;-0.0030087;8.89168;26.7536;64.7944;20.2992;12.0805;0.248598;1;
0.0520722;52.2941;0.00132625;8.97245;26.9982;64.4693;20.1989;12.021;0.246489;1;
0.0568187;52.7721;0.00387075;9.05429;27.2485;64.1308;20.0967;11.9608;0.244162;1;
0.0610835;53.3345;-0.01714;9.13042;27.4297;64.01;20.0129;11.9045;0.241607;1;
